word,part_of_speech,level,taught,week_taught,notes
hard,adj./adv.,1200,no,,
hardly,adv.,800,no,,
hard-working,adj.,1200,no,,
hasn't,v.,1200,no,,
hat,n.,1200,no,,
hate,v./n.,1200,no,,
have,v.,1200,no,,
haven't,v.,1200,no,,
he,pron.,1200,no,,
head,v./n.,1200,no,,
headache,n.,1200,no,,
health,n.,1200,no,,
healthy,adj.,1200,no,,
hear,v.,1200,no,,
heart,n.,1200,no,,
heat,v./n.,1200,no,,
heater,n.,800,no,,
heavy,adj.,1200,no,,
he'd,v.,1200,no,,
height,n.,1200,no,,
helicopter,n.,800,no,,
he'll,v.,1200,no,,
hello,int./n.,1200,no,,
help,v./n.,1200,no,,
helpful,adj.,1200,no,,
hen,n.,1200,no,,
her,pron.,1200,no,,
here,adv./n.,1200,no,,
hero,n.,800,no,,
hers,pron.,1200,no,,
herself,pron.,1200,no,,
he's,v.,1200,no,,
hey,int.,1200,no,,
hi,int.,1200,no,,
hide,v.,1200,no,,
high,adj./adv.,1200,no,,
highway,n.,800,no,,
hike,v./n.,1200,no,,
hill,n.,1200,no,,
him,pron.,1200,no,,
himself,pron.,1200,no,,
hip,n.,800,no,,
hippo,n.,800,no,,
hire,v./n.,800,no,,
his,pron.,1200,no,,
history,n.,1200,no,,
hit,v./n.,1200,no,,
hobby,n.,1200,no,,
hold,v./n.,1200,no,,
hole,v./n.,800,no,,
holiday,n.,1200,no,,
home,adj./v.,1200,no,,
homesick,adj.,800,no,,
homework,n.,1200,no,,
honest,adj.,1200,no,,
honesty,n.,800,no,,
honey,n.,1200,no,,
hop,v./n.,800,no,,
hope,v./n.,1200,no,,
horrible,adj.,800,no,,
horse,n.,1200,no,,
hospital,n.,1200,no,,
host,v./n.,800,no,,
hot,adj.,1200,no,,
hot dog,n.,1200,no,,
hotel,n.,1200,no,,
hour,n.,1200,no,,
house,v./n.,1200,no,,
housewife,n.,1200,no,,
housework,n.,800,no,,
how,adv./conj.,1200,no,,
however,adv./conj.,1200,no,,
how's,v.,1200,no,,
hug,v./n.,800,no,,
human,adj./n.,800,no,,
humble,adj./v.,800,no,,
humid,adj.,800,no,,
humor,n.,800,no,,
humorous,adj.,800,no,,
hundred,adj./n.,1200,no,,
hunger,n.,800,no,,
hungry,adj.,1200,no,,
hunt,v./n.,1200,no,,
hunter,n.,800,no,,
hurry,v./n.,1200,no,,
hurt,v./n.,1200,no,,
husband,n.,1200,no,,
I,pron.,1200,no,,
ice,n.,1200,no,,
ice cream,n.,1200,no,,
I'd,v.,1200,no,,
idea,n.,1200,no,,
if,conj.,1200,no,,
ignore,v.,800,no,,
ill,adj./adv.,800,no,,
I'll,v.,1200,no,,
I'm,v.,1200,no,,
imagine,v.,800,no,,
impolite,adj.,800,no,,
importance,n.,800,no,,
important,adj.,1200,no,,
impossible,adj.,800,no,,
improve,v.,800,yes,02,第二週核心單字
in,adj./adv.,1200,no,,
inch,v./n.,1200,no,,
include,v.,800,no,,
income,n.,800,no,,
increase,v./n.,800,no,,
independent,adj.,800,no,,
indicate,v.,800,no,,
influence,v./n.,800,no,,
information,n.,800,no,,
ink,v./n.,800,no,,
insect,n.,1200,no,,
inside,adj./adv.,1200,no,,
insist,v.,800,no,,
inspire,v.,800,no,,
instant,adj./n.,800,no,,
instrument,n.,800,no,,
intelligent,adj.,800,no,,
interest,v./n.,1200,no,,
interested,adj.,1200,no,,
interesting,adj.,1200,no,,
international,adj.,800,no,,
Internet,n.,1200,no,,
interrupt,v.,800,no,,
interview,v./n.,1200,no,,
into,prep.,1200,no,,
introduce,v.,800,no,,
invent,v.,800,no,,
invitation,n.,800,no,,
invite,v.,1200,no,,
iron,adj./v.,800,no,,
is,v.,1200,no,,
island,n.,1200,no,,
isn't,v.,1200,no,,
it,pron.,1200,no,,
item,n.,1200,no,,
it'll,v.,1200,no,,
its,pron.,1200,no,,
it's,v.,1200,no,,
itself,pron.,1200,no,,
I've,v.,1200,no,,
jacket,n.,1200,no,,
jam,v./n.,800,no,,
January,n.,1200,no,,
jazz,v./n.,800,no,,
jealous,adj.,800,no,,
jeans,n.,1200,no,,
jeep,n.,800,no,,
job,n.,1200,no,,
jog,v./n.,1200,no,,
join,v./n.,1200,no,,
joke,v./n.,1200,no,,
journalist,n.,800,no,,
joy,n.,1200,no,,
judge,v./n.,800,no,,
juice,n.,1200,no,,
July,n.,1200,no,,
jump,v./n.,1200,no,,
June,n.,1200,no,,
junior high school,n.,1200,no,,
just,adj./adv.,1200,no,,
kangaroo,n.,800,no,,
keep,v./n.,1200,no,,
